"group","outcome","co2_scale","co2_value","vbg_co2","probability_method","eta","ubar","bvar","p_imp_mean","m_used","m_total","n_available","n_standardized","standardization_sample_cap","var_eta","SE_eta","p","p_LCL","p_UCL","passed_threshold","min_required","co2_ref","run_id","run_ts"
"VBG","niv_proc","vbg_co2",43.9045226130653,43.9045226130653,"common_source_marginal_standardized",-2.80842674456607,0.00147517981563879,0.000213559617620852,0.0568753200589755,20,20,128521,5000,5000,0.00169941741414069,0.0412239907595163,0.0568705055274652,0.0526887490986223,0.0613626574490246,TRUE,18,45,"20260421_121048","2026-04-21 12:10:48.40139"
"VBG","niv_proc","vbg_co2",44.1909547738694,44.1909547738694,"common_source_marginal_standardized",-2.80224807867129,0.00152030219962468,0.000215574099415489,0.0572076979359556,20,20,128521,5000,5000,0.00174665500401095,0.0417930018545085,0.0572028147917027,0.0529420501563124,0.0617841143904174,TRUE,18,45,"20260421_121048","2026-04-21 12:10:48.40139"
"VBG","niv_proc","vbg_co2",44.4773869346734,44.4773869346734,"common_source_marginal_standardized",-2.7945866908105,0.00156135080629853,0.000217449406851692,0.0576223575578541,20,20,128521,5000,5000,0.0017896726834928,0.0423045232037049,0.057617402877868,0.0532769128991578,0.0622882482011217,TRUE,18,45,"20260421_121048","2026-04-21 12:10:48.40139"
"VBG","niv_proc","vbg_co2",44.7638190954774,44.7638190954774,"common_source_marginal_standardized",-2.7855117517377,0.00159704082317269,0.000219124273199316,0.0581171609975822,20,20,128521,5000,5000,0.00182712131003197,0.0427448395719527,0.0581121333797556,0.0536926323507031,0.0628712399099245,TRUE,18,45,"20260421_121048","2026-04-21 12:10:48.40139"
"VBG","niv_proc","vbg_co2",45,45,"common_source_marginal_standardized",-2.77701542600886,0.0016217705846567,0.00022032254374206,0.058584018430132,20,20,128521,5000,5000,0.00185310925558586,0.0430477555232077,0.0585789304772456,0.0540955809830645,0.063408943883466,TRUE,18,45,"20260421_121048","2026-04-21 12:10:48.40139"
"VBG","niv_proc","vbg_co2",45.0502512562814,45.0502512562814,"common_source_marginal_standardized",-2.77509363284636,0.00162644314833965,0.00022055420337121,0.0586901031534086,20,20,128521,5000,5000,0.00185802506187942,0.0431048148340695,0.0586850023994645,0.0541882699001546,0.0635298248590659,TRUE,18,45,"20260421_121048","2026-04-21 12:10:48.40139"
"VBG","niv_proc","vbg_co2",45.3366834170854,45.3366834170854,"common_source_marginal_standardized",-2.76340281112595,0.00164893942187788,0.00022170936315219,0.0593393309091132,20,20,128521,5000,5000,0.00188173425318768,0.0433789609509919,0.0593341577505869,0.0547627583493813,0.0642612181833717,TRUE,18,45,"20260421_121048","2026-04-21 12:10:48.40139"
"VBG","niv_proc","vbg_co2",45.6231155778895,45.6231155778895,"common_source_marginal_standardized",-2.75050984327465,0.00166418585847284,0.000222572847634529,0.0600631067394008,20,20,128521,5000,5000,0.00189788734848909,0.0435647489203036,0.0600578625977967,0.0554149273051007,0.0650630109910081,TRUE,18,45,"20260421_121048","2026-04-21 12:10:48.40139"
"VBG","niv_proc","vbg_co2",45.9095477386935,45.9095477386935,"common_source_marginal_standardized",-2.73648534085572,0.00167207862643466,0.000223139024592436,0.0608597737541101,20,20,128521,5000,5000,0.00190637460225671,0.0436620499090081,0.060854460530479,0.0561435143114484,0.0659330845082232,TRUE,18,45,"20260421_121048","2026-04-21 12:10:48.40139"
"VBG","niv_proc","vbg_co2",46.1959798994975,46.1959798994975,"common_source_marginal_standardized",-2.72139994634551,0.0016727208457558,0.000223411956161846,0.0617277219467726,20,20,128521,5000,5000,0.00190730339972574,0.0436726848238774,0.0617223418368915,0.0569471646214257,0.0668695386564767,TRUE,18,45,"20260421_121048","2026-04-21 12:10:48.40139"
"VBG","niv_proc","vbg_co2",46.4824120603015,46.4824120603015,"common_source_marginal_standardized",-2.70532430995209,0.00166639126760929,0.000223403901710078,0.0626653554594098,20,20,128521,5000,5000,0.00190096536440487,0.043600061518361,0.062659910791552,0.0578244221538644,0.0678706319969318,TRUE,18,45,"20260421_121048","2026-04-21 12:10:48.40139"
"VBG","niv_proc","vbg_co2",46.7688442211055,46.7688442211055,"common_source_marginal_standardized",-2.68832906711337,0.00165351468886183,0.000223133904364913,0.063671060719795,20,20,128521,5000,5000,0.00188780528844499,0.0434488813255875,0.0636655538127754,0.0587737137783232,0.0689347304899107,TRUE,18,45,"20260421_121048","2026-04-21 12:10:48.40139"
"VBG","niv_proc","vbg_co2",47.0552763819096,47.0552763819096,"common_source_marginal_standardized",-2.67048481661159,0.00163463414745752,0.000222626463309388,0.0647431753500147,20,20,128521,5000,5000,0.00186839193393238,0.0432248994670014,0.0647376083897817,0.0597933287046818,0.0700602629856182,TRUE,18,45,"20260421_121048","2026-04-21 12:10:48.40139"
"VBG","niv_proc","vbg_co2",47.3417085427136,47.3417085427136,"common_source_marginal_standardized",-2.6518620992687,0.00161038493765896,0.000221910293624892,0.0658799577862045,20,20,128521,5000,5000,0.00184339074596509,0.0429347265737782,0.065874332719747,0.0608813944604259,0.0712456817547289,TRUE,18,45,"20260421_121048","2026-04-21 12:10:48.40139"
"VBG","niv_proc","vbg_co2",47.6281407035176,47.6281407035176,"common_source_marginal_standardized",-2.63253137721256,0.00158147047789006,0.000221017175172166,0.0670795575888995,20,20,128521,5000,5000,0.00181353851182083,0.0425856608710119,0.0670738760346386,0.0620358507213186,0.0724894266792345,TRUE,18,45,"20260421_121048","2026-04-21 12:10:48.40139"
"VBG","niv_proc","vbg_co2",47.9145728643216,47.9145728643216,"common_source_marginal_standardized",-2.61256301372914,0.00154864005812579,0.000219980891726355,0.0683399864615047,20,20,128521,5000,5000,0.00177961999443847,0.0421855424812633,0.0683342496356579,0.0632544221117794,0.0737898919640926,TRUE,18,45,"20260421_121048","2026-04-21 12:10:48.40139"
"VBG","niv_proc","vbg_co2",48.2010050251256,48.2010050251256,"common_source_marginal_standardized",-2.59202725373885,0.00151266848827124,0.000218836261324447,0.06965909003087,20,20,128521,5000,5000,0.00174244656266191,0.041742622853169,0.069653298689513,0.0645345909957702,0.0751453944128067,TRUE,18,45,"20260421_121048","2026-04-21 12:10:48.40139"
"VBG","niv_proc","vbg_co2",48.4874371859297,48.4874371859297,"common_source_marginal_standardized",-2.57099420495727,0.00147433766365266,0.000217618258533773,0.0710345204786619,20,20,128521,5000,5000,0.00170283683511312,0.0412654435952543,0.0710286748753663,0.0658735712210652,0.076554142451146,TRUE,18,45,"20260421_121048","2026-04-21 12:10:48.40139"
