"sentinel_concept","group","imp","n_tested","events","unweighted_rate","weighted_rate","weighted_n","ess","date_missing_fraction","run_id","run_ts"
"Transthoracic echocardiography","ABG",15,46653,6888,0.147643238376953,0.129999322820239,46652.9999999999,33918.8917271296,0,"20260421_121048","2026-04-21 12:10:48.40139"
"Transthoracic echocardiography","VBG",15,37383,6370,0.17039830939197,0.200120067709155,37383.0000000001,25716.0750479709,0,"20260421_121048","2026-04-21 12:10:48.40139"
"CT chest / CT pulmonary angiography","ABG",16,46653,2167,0.0464493173000664,0.0476572978654654,46653.0000000008,33765.2161353754,0,"20260421_121048","2026-04-21 12:10:48.40139"
"CT chest / CT pulmonary angiography","VBG",16,37383,3022,0.0808388839846989,0.072439923566841,37383.0000000003,25821.6101139752,0,"20260421_121048","2026-04-21 12:10:48.40139"
"Chest radiograph","ABG",16,46653,14118,0.302617195035689,0.296375665062301,46653.0000000008,33765.2161353754,0,"20260421_121048","2026-04-21 12:10:48.40139"
"Chest radiograph","VBG",16,37383,15186,0.40622742958029,0.397039400346698,37383.0000000003,25821.6101139752,0,"20260421_121048","2026-04-21 12:10:48.40139"
"Transthoracic echocardiography","ABG",16,46653,6888,0.147643238376953,0.130262084411125,46653.0000000008,33765.2161353754,0,"20260421_121048","2026-04-21 12:10:48.40139"
"Transthoracic echocardiography","VBG",16,37383,6370,0.17039830939197,0.199834902692597,37383.0000000003,25821.6101139752,0,"20260421_121048","2026-04-21 12:10:48.40139"
"CT chest / CT pulmonary angiography","ABG",17,46653,2167,0.0464493173000664,0.0478999290716847,46653,33798.0458578008,0,"20260421_121048","2026-04-21 12:10:48.40139"
"CT chest / CT pulmonary angiography","VBG",17,37383,3022,0.0808388839846989,0.071413974945754,37382.9999999996,25755.8880595686,0,"20260421_121048","2026-04-21 12:10:48.40139"
"Chest radiograph","ABG",17,46653,14118,0.302617195035689,0.29560418451845,46653,33798.0458578008,0,"20260421_121048","2026-04-21 12:10:48.40139"
"Chest radiograph","VBG",17,37383,15186,0.40622742958029,0.395870703270613,37382.9999999996,25755.8880595686,0,"20260421_121048","2026-04-21 12:10:48.40139"
"Transthoracic echocardiography","ABG",17,46653,6888,0.147643238376953,0.130017168634147,46653,33798.0458578008,0,"20260421_121048","2026-04-21 12:10:48.40139"
"Transthoracic echocardiography","VBG",17,37383,6370,0.17039830939197,0.200754420831108,37382.9999999996,25755.8880595686,0,"20260421_121048","2026-04-21 12:10:48.40139"
"CT chest / CT pulmonary angiography","ABG",18,46653,2167,0.0464493173000664,0.047585136402258,46653.0000000006,33674.9047919154,0,"20260421_121048","2026-04-21 12:10:48.40139"
