"method","group","outcome","metric_type","level","estimate","lcl","ucl","n_model","events","run_id","run_ts"
"Adjusted","ABG","Hypercapnic RF","Probability","High",0.248281995510276,0.236732346049888,0.260203032163326,46653,4990,"20260421_121048","2026-04-21 12:10:48.40139"
"Adjusted","VBG","IMV","Probability","Normal",0.168508274272373,0.158993438153593,0.178471683036646,37383,5788,"20260421_121048","2026-04-21 12:10:48.40139"
"Adjusted","VBG","IMV","Probability","Low",0.213459172995251,0.20095987926999,0.226515507720832,37383,5788,"20260421_121048","2026-04-21 12:10:48.40139"
"Adjusted","VBG","IMV","Probability","High",0.247647682774578,0.234356842574955,0.261434898984058,37383,5788,"20260421_121048","2026-04-21 12:10:48.40139"
"Adjusted","VBG","NIV","Probability","Normal",0.0237031425178373,0.0208755645613911,0.0269031901517863,37383,2657,"20260421_121048","2026-04-21 12:10:48.40139"
"Adjusted","VBG","NIV","Probability","Low",0.0232669134384489,0.0202466775700742,0.0267253941737498,37383,2657,"20260421_121048","2026-04-21 12:10:48.40139"
"Adjusted","VBG","NIV","Probability","High",0.0606517571570209,0.0539786438528223,0.0680904572355645,37383,2657,"20260421_121048","2026-04-21 12:10:48.40139"
"Adjusted","VBG","Death (60d)","Probability","Normal",0.145183122330267,0.136371304025275,0.1544624916894,37383,5087,"20260421_121048","2026-04-21 12:10:48.40139"
"Adjusted","VBG","Death (60d)","Probability","Low",0.228611684992106,0.215351439244447,0.242436152246855,37383,5087,"20260421_121048","2026-04-21 12:10:48.40139"
"Adjusted","VBG","Death (60d)","Probability","High",0.191889247680241,0.180135842889667,0.204218511476536,37383,5087,"20260421_121048","2026-04-21 12:10:48.40139"
"Adjusted","VBG","Hypercapnic RF","Probability","Normal",0.0384316084226499,0.0346193105601393,0.0426451736740275,37383,3323,"20260421_121048","2026-04-21 12:10:48.40139"
"Adjusted","VBG","Hypercapnic RF","Probability","Low",0.0348195248820317,0.0307216175208706,0.0394418027962324,37383,3323,"20260421_121048","2026-04-21 12:10:48.40139"
"Adjusted","VBG","Hypercapnic RF","Probability","High",0.244274995066361,0.228874000126591,0.260362419084817,37383,3323,"20260421_121048","2026-04-21 12:10:48.40139"
"Imputed","ABG","IMV","Probability","Normal",0.226946107136789,0.218955155341576,0.235140895506518,46653,12008,"20260421_121048","2026-04-21 12:10:48.40139"
"Imputed","ABG","IMV","Probability","Low",0.288839758972719,0.278492890799315,0.299411519100553,46653,12008,"20260421_121048","2026-04-21 12:10:48.40139"
"Imputed","ABG","IMV","Probability","High",0.277098795137664,0.267085515298025,0.287340303061402,46653,12008,"20260421_121048","2026-04-21 12:10:48.40139"
"Imputed","ABG","NIV","Probability","Normal",0.0964276034802504,0.090645687243824,0.102536738830303,46653,4690,"20260421_121048","2026-04-21 12:10:48.40139"
"Imputed","ABG","NIV","Probability","Low",0.0997224118102202,0.0926354045785024,0.107287497041977,46653,4690,"20260421_121048","2026-04-21 12:10:48.40139"
"Imputed","ABG","NIV","Probability","High",0.21852785100578,0.207587698735178,0.229877304889417,46653,4690,"20260421_121048","2026-04-21 12:10:48.40139"
"Imputed","ABG","Death (60d)","Probability","Normal",0.129738353192973,0.123516295100485,0.136225129282219,46653,8249,"20260421_121048","2026-04-21 12:10:48.40139"
"Imputed","ABG","Death (60d)","Probability","Low",0.227629672644764,0.217658085225294,0.237919162214935,46653,8249,"20260421_121048","2026-04-21 12:10:48.40139"
"Imputed","ABG","Death (60d)","Probability","High",0.172405114950056,0.164058201078883,0.181084707074777,46653,8249,"20260421_121048","2026-04-21 12:10:48.40139"
"Imputed","ABG","Hypercapnic RF","Probability","Normal",0.0513764203048474,0.0476642880354951,0.0553608502760648,46653,4990,"20260421_121048","2026-04-21 12:10:48.40139"
"Imputed","ABG","Hypercapnic RF","Probability","Low",0.0487333705784835,0.0445323123634408,0.0533086335128024,46653,4990,"20260421_121048","2026-04-21 12:10:48.40139"
"Imputed","ABG","Hypercapnic RF","Probability","High",0.248281995510276,0.236557305929785,0.260389601273741,46653,4990,"20260421_121048","2026-04-21 12:10:48.40139"
"Imputed","VBG","IMV","Probability","Normal",0.168508274272373,0.158929654171641,0.178541645030148,37383,5788,"20260421_121048","2026-04-21 12:10:48.40139"
"Imputed","VBG","IMV","Probability","Low",0.213459172995251,0.201047076989963,0.226420394315401,37383,5788,"20260421_121048","2026-04-21 12:10:48.40139"
"Imputed","VBG","IMV","Probability","High",0.247647682774578,0.234150720814664,0.261656832942475,37383,5788,"20260421_121048","2026-04-21 12:10:48.40139"
"Imputed","VBG","NIV","Probability","Normal",0.0237031425178373,0.0207958610832444,0.0270056553947603,37383,2657,"20260421_121048","2026-04-21 12:10:48.40139"
"Imputed","VBG","NIV","Probability","Low",0.0232669134384489,0.0201207412808679,0.0268915346842823,37383,2657,"20260421_121048","2026-04-21 12:10:48.40139"
"Imputed","VBG","NIV","Probability","High",0.0606517571570209,0.053872409387795,0.0682227074753941,37383,2657,"20260421_121048","2026-04-21 12:10:48.40139"
"Imputed","VBG","Death (60d)","Probability","Normal",0.145183122330266,0.136311430883464,0.154528911021618,37383,5087,"20260421_121048","2026-04-21 12:10:48.40139"
"Imputed","VBG","Death (60d)","Probability","Low",0.228611684992106,0.215310901305863,0.242480219077806,37383,5087,"20260421_121048","2026-04-21 12:10:48.40139"
"Imputed","VBG","Death (60d)","Probability","High",0.191889247680241,0.180037216516509,0.204327083655665,37383,5087,"20260421_121048","2026-04-21 12:10:48.40139"
"Imputed","VBG","Hypercapnic RF","Probability","Normal",0.0384316084226499,0.0345680015503206,0.042707941212448,37383,3323,"20260421_121048","2026-04-21 12:10:48.40139"
"Imputed","VBG","Hypercapnic RF","Probability","Low",0.0348195248820317,0.0305653303505714,0.0396416213421002,37383,3323,"20260421_121048","2026-04-21 12:10:48.40139"
"Imputed","VBG","Hypercapnic RF","Probability","High",0.244274995066361,0.229087301003477,0.260129824232923,37383,3323,"20260421_121048","2026-04-21 12:10:48.40139"
"Weighted and adjusted","ABG","Death (60d)","Probability","High",0.149095841220708,0.142364792947232,0.156087215523456,46653,8249,"20260421_121048","2026-04-21 12:10:48.40139"
