"outcome","outcome_var","group","co2_scale","strategy","co2_value","eta","ubar","bvar","p_imp_mean","m_used","m_total","n_available","n_standardized","standardization_sample_cap","var_eta","SE_eta","p","p_LCL","p_UCL","passed_threshold","min_required","run_id","run_ts"
"IMV","imv_proc","ABG","paco2","marginal_standardized",37.0201005025126,-1.45677255058607,0.00684372288335824,0.00083190741256068,0.188999090200109,20,20,5175,1000,1000,0.00771722566654695,0.0878477413855755,0.188961451579612,0.16397368616904,0.216769751067164,TRUE,18,"20260424_063653","2026-04-24 06:36:53.744157"
"IMV","imv_proc","ABG","paco2","marginal_standardized",37.3316582914573,-1.4759373415785,0.00693309393787042,0.000840708923139748,0.186079778863266,20,20,5175,1000,1000,0.00781583830716715,0.0884072299485011,0.186041844233755,0.16121500352235,0.213717823021407,TRUE,18,"20260424_063653","2026-04-24 06:36:53.744157"
"IMV","imv_proc","ABG","paco2","marginal_standardized",37.643216080402,-1.49464012497299,0.00708167986641197,0.000851409532870786,0.1832645970059,20,20,5175,1000,1000,0.0079756598759263,0.0893065500169293,0.183226291267066,0.158466719393433,0.210884969414068,TRUE,18,"20260424_063653","2026-04-24 06:36:53.744157"
"IMV","imv_proc","ABG","paco2","marginal_standardized",37.9547738693467,-1.51274616401008,0.00728416006198342,0.000863752469548744,0.180570909722236,20,20,5175,1000,1000,0.0081911001550096,0.0905046968671217,0.180532168331295,0.155758038498585,0.208274642056887,TRUE,18,"20260424_063653","2026-04-24 06:36:53.744157"
"IMV","imv_proc","ABG","paco2","marginal_standardized",38.2663316582915,-1.53012051561816,0.00753329729116127,0.0008774139112527,0.178015282011012,20,20,5175,1000,1000,0.00845458189797661,0.0919488004161915,0.177976053597394,0.153119600081251,0.205886579338108,TRUE,18,"20260424_063653","2026-04-24 06:36:53.744157"
"IMV","imv_proc","ABG","paco2","marginal_standardized",38.5778894472362,-1.54662805431894,0.00782007413647878,0.000892008772383263,0.175613566923566,20,20,5175,1000,1000,0.0087566833474812,0.0935771518453153,0.175573815566981,0.150582556503748,0.203717979428939,TRUE,18,"20260424_063653","2026-04-24 06:36:53.744157"
"IMV","imv_proc","ABG","paco2","marginal_standardized",38.8894472361809,-1.56213349999469,0.00813387606371442,0.00090709811687347,0.173381009668477,20,20,5175,1000,1000,0.00908632908643156,0.0953222381526554,0.173340716788568,0.148177778386046,0.201764593055354,TRUE,18,"20260424_063653","2026-04-24 06:36:53.744157"
"IMV","imv_proc","ABG","paco2","marginal_standardized",39.2010050251256,-1.57650144936465,0.00846272150532122,0.000922198210625965,0.171332367104691,20,20,5175,1000,1000,0.00943102962647849,0.0971134883859008,0.171291532920736,0.145935261691064,0.200021656717988,TRUE,18,"20260424_063653","2026-04-24 06:36:53.744157"
"IMV","imv_proc","ABG","paco2","marginal_standardized",39.5125628140703,-1.58959641104713,0.00879353921221013,0.000936791220068023,0.16948204212036,20,20,5175,1000,1000,0.00977716999328156,0.0988795731851708,0.169440686648346,0.143883764366835,0.198484635473705,TRUE,18,"20260424_063653","2026-04-24 06:36:53.744157"
"IMV","imv_proc","ABG","paco2","marginal_standardized",39.8241206030151,-1.60128284412369,0.00911249297449307,0.000950337558171964,0.167844232504768,20,20,5175,1000,1000,0.0101103474105736,0.100550223324335,0.167802396065743,0.142050662081045,0.197149783195714,TRUE,18,"20260424_063653","2026-04-24 06:36:53.744157"
