"group","outcome","co2_scale","co2_value","paco2","probability_method","eta","ubar","bvar","p_imp_mean","m_used","m_total","n_available","n_standardized","standardization_sample_cap","var_eta","SE_eta","p","p_LCL","p_UCL","passed_threshold","min_required","co2_ref","run_id","run_ts"
"ABG","imv_proc","paco2",32.6582914572864,32.6582914572864,"common_source_marginal_standardized",-1.21291161692783,0.010359355677988,0.000888169682107259,0.229226667160437,20,20,5175,1000,1000,0.0112919338442006,0.106263511348913,0.229186279377746,0.194475394690325,0.268031075178318,TRUE,18,40,"20260424_063653","2026-04-24 06:36:53.744157"
"ABG","imv_proc","paco2",32.9698492462312,32.9698492462312,"common_source_marginal_standardized",-1.22558133870802,0.0100295217695214,0.000879712418281327,0.226995782984227,20,20,5175,1000,1000,0.0109532198087167,0.104657631392635,0.226955730382294,0.192988035977439,0.26493929153115,TRUE,18,40,"20260424_063653","2026-04-24 06:36:53.744157"
"ABG","imv_proc","paco2",33.2814070351759,33.2814070351759,"common_source_marginal_standardized",-1.23917494807539,0.00968372486956043,0.000870962927717642,0.224619329315204,20,20,5175,1000,1000,0.010598235943664,0.102947734038511,0.224579630610418,0.191397890763946,0.261652481473958,TRUE,18,40,"20260424_063653","2026-04-24 06:36:53.744157"
"ABG","imv_proc","paco2",33.5929648241206,33.5929648241206,"common_source_marginal_standardized",-1.25370434227547,0.00932566438223341,0.000862069403305779,0.222098889661647,20,20,5175,1000,1000,0.0102308372557045,0.101147601334409,0.222059558190418,0.189701080862438,0.258178959341247,TRUE,18,40,"20260424_063653","2026-04-24 06:36:53.744157"
"ABG","imv_proc","paco2",33.9045226130653,33.9045226130653,"common_source_marginal_standardized",-1.26918149808912,0.00896021807839469,0.000853217434313668,0.219436356322887,20,20,5175,1000,1000,0.00985609638442405,0.0992778745966293,0.219397398313668,0.187891980815048,0.254529871131386,TRUE,18,40,"20260424_063653","2026-04-24 06:36:53.744157"
"ABG","imv_proc","paco2",34.21608040201,34.21608040201,"common_source_marginal_standardized",-1.28561045148538,0.00859375777655051,0.000844640338925338,0.216635301732983,20,20,5175,1000,1000,0.00948063013242212,0.0973685274224794,0.216596714109305,0.185963806117179,0.250721470771697,TRUE,18,40,"20260424_063653","2026-04-24 06:36:53.744157"
"ABG","imv_proc","paco2",34.5276381909548,34.5276381909548,"common_source_marginal_standardized",-1.30291055607937,0.0082363826679829,0.000836690470577807,0.21371381773372,20,20,5175,1000,1000,0.00911490766208959,0.095472025547223,0.213675582660279,0.183916365180231,0.246793887762278,TRUE,18,40,"20260424_063653","2026-04-24 06:36:53.744157"
"ABG","imv_proc","paco2",34.8391959798995,34.8391959798995,"common_source_marginal_standardized",-1.32095018107513,0.00789962259947536,0.00082975687278828,0.210698168604507,20,20,5175,1000,1000,0.00877086731590305,0.0936529087423506,0.210660251545841,0.18175385399516,0.242799794128673,TRUE,18,40,"20260424_063653","2026-04-24 06:36:53.744157"
"ABG","imv_proc","paco2",35.1507537688442,35.1507537688442,"common_source_marginal_standardized",-1.33959680436635,0.0075941697654965,0.000824188933949825,0.207614020552626,20,20,5175,1000,1000,0.00845956814614382,0.0919759106839602,0.207576371753544,0.179480723847441,0.238790136048388,TRUE,18,40,"20260424_063653","2026-04-24 06:36:53.744157"
"ABG","imv_proc","paco2",35.4623115577889,35.4623115577889,"common_source_marginal_standardized",-1.35871768208896,0.00732956135885225,0.000820286390273335,0.204486235099718,20,20,5175,1000,1000,0.00819086206863925,0.0905033815315165,0.204448791585571,0.177102307287768,0.23481295353972,TRUE,18,40,"20260424_063653","2026-04-24 06:36:53.744157"
"ABG","imv_proc","paco2",35.7738693467337,35.7738693467337,"common_source_marginal_standardized",-1.37817983124823,0.00711392697363289,0.000818291541451768,0.201338797927908,20,20,5175,1000,1000,0.00797313309215725,0.0892924022084592,0.201301485921964,0.174625586810526,0.230912353196081,TRUE,18,40,"20260424_063653","2026-04-24 06:36:53.744157"
