"cohort","outcome","outcome_label","bin_lo","bin_mid","n_bin","rate","n_imp_contrib","run_id","run_ts"
"VBG","niv_proc","NIV",24,24.5,6,0,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","niv_proc","NIV",25,25.5,6,0,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","niv_proc","NIV",26,26.5,11,0,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","niv_proc","NIV",27,27.5,9,0,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","niv_proc","NIV",28,28.5,8,0,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","niv_proc","NIV",29,29.5,13,0,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","niv_proc","NIV",30,30.5,25,0.0474923253663408,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","niv_proc","NIV",31,31.5,25,0.0689770037059104,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","niv_proc","NIV",32,32.5,24,0,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","niv_proc","NIV",33,33.5,28,0.155482406970413,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","niv_proc","NIV",34,34.5,21,0.117175105167807,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","niv_proc","NIV",35,35.5,42,0.0732314410328299,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","niv_proc","NIV",36,36.5,49,0.0666917095894667,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","niv_proc","NIV",37,37.5,29,0.0411318148884521,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","niv_proc","NIV",38,38.5,53,0.0691635567078341,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","niv_proc","NIV",39,39.5,51,0.0241529774924269,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","niv_proc","NIV",40,40.5,70,0.06690855982589,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","niv_proc","NIV",41,41.5,68,0.14024160736251,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","niv_proc","NIV",42,42.5,81,0.0281269801032057,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","niv_proc","NIV",43,43.5,76,0.0131119868208407,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","niv_proc","NIV",44,44.5,68,0.0876988804786445,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","niv_proc","NIV",45,45.5,57,0.0808621162881789,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","niv_proc","NIV",46,46.5,73,0.0345840177852366,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","niv_proc","NIV",47,47.5,69,0.133047757746425,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","niv_proc","NIV",48,48.5,44,0.0832189681679125,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","niv_proc","NIV",49,49.5,36,0.103647701743117,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","niv_proc","NIV",50,50.5,42,0.050127733548195,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","niv_proc","NIV",51,51.5,36,0.21770623009732,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","niv_proc","NIV",52,52.5,49,0.103523819936608,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","niv_proc","NIV",53,53.5,38,0.0189604985433963,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","niv_proc","NIV",54,54.5,32,0.0406534894167244,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","niv_proc","NIV",55,55.5,25,0.174199451213302,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","niv_proc","NIV",56,56.5,21,0.11167158779277,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","niv_proc","NIV",57,57.5,14,0,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","niv_proc","NIV",58,58.5,13,0.0903603465250199,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","niv_proc","NIV",59,59.5,13,0,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","niv_proc","NIV",60,60.5,16,0.13680277835154,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","niv_proc","NIV",61,61.5,8,0.206682520998769,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","niv_proc","NIV",62,62.5,9,0.0761734316849987,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","niv_proc","NIV",63,63.5,8,0.108859789817445,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","niv_proc","NIV",64,64.5,11,0.289307144452127,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","niv_proc","NIV",65,65.5,7,0.327003536063902,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","niv_proc","NIV",66,66.5,6,0.372275473000816,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","niv_proc","NIV",67,67.5,5,0.269355015579976,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","niv_proc","NIV",68,68.5,8,0.248580305776367,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","niv_proc","NIV",69,69.5,4,0,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","niv_proc","NIV",70,70.5,9,0.479659079088265,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","niv_proc","NIV",71,71.5,1,0,1,"20260416_211701","2026-04-16 21:17:01.49828"
