"variable","level","type","smd_pre","smd_post","group","imp","run_id","run_ts"
"race_ethnicity","6","factor",0.0312602798265828,0.00302996396942009,"ABG",3,"20260423_111150","2026-04-23 11:11:50.486947"
"curr_bmi",NA,"numeric",-0.228363600728641,-0.0506692847653146,"ABG",3,"20260423_111150","2026-04-23 11:11:50.486947"
"copd","0","factor",-0.0441619035550022,-0.0262051808065958,"ABG",3,"20260423_111150","2026-04-23 11:11:50.486947"
"copd","1","factor",0.0441619035550023,0.0262051808065977,"ABG",3,"20260423_111150","2026-04-23 11:11:50.486947"
"asthma","0","factor",0.0637596693350249,0.00919129037300579,"ABG",3,"20260423_111150","2026-04-23 11:11:50.486947"
"asthma","1","factor",-0.0637596693350249,-0.0091912903730165,"ABG",3,"20260423_111150","2026-04-23 11:11:50.486947"
"osa","0","factor",0.0448861582760451,-0.0118433014617387,"ABG",3,"20260423_111150","2026-04-23 11:11:50.486947"
"osa","1","factor",-0.0448861582760449,0.0118433014617392,"ABG",3,"20260423_111150","2026-04-23 11:11:50.486947"
"chf","0","factor",-0.06258903887772,-0.0319911193300893,"ABG",3,"20260423_111150","2026-04-23 11:11:50.486947"
"chf","1","factor",0.06258903887772,0.0319911193300823,"ABG",3,"20260423_111150","2026-04-23 11:11:50.486947"
"acute_nmd","0","factor",-0.00784411947443327,-0.00363441682064935,"ABG",3,"20260423_111150","2026-04-23 11:11:50.486947"
"acute_nmd","1","factor",0.00784411947443442,0.0036344168206365,"ABG",3,"20260423_111150","2026-04-23 11:11:50.486947"
"phtn","0","factor",-0.0474360216201267,-0.0189107561725738,"ABG",3,"20260423_111150","2026-04-23 11:11:50.486947"
"phtn","1","factor",0.0474360216201263,0.0189107561725624,"ABG",3,"20260423_111150","2026-04-23 11:11:50.486947"
"ckd","0","factor",-0.0498309137994015,-0.0354964944254324,"ABG",3,"20260423_111150","2026-04-23 11:11:50.486947"
"ckd","1","factor",0.0498309137994015,0.0354964944254306,"ABG",3,"20260423_111150","2026-04-23 11:11:50.486947"
"dm","0","factor",-0.0183900968420593,-0.0302358415929681,"ABG",3,"20260423_111150","2026-04-23 11:11:50.486947"
"dm","1","factor",0.0183900968420592,0.0302358415929625,"ABG",3,"20260423_111150","2026-04-23 11:11:50.486947"
"location","0","factor",0.172842061895068,0.0885852832563071,"ABG",3,"20260423_111150","2026-04-23 11:11:50.486947"
"location","1","factor",-0.138855339232674,-0.0734065528825238,"ABG",3,"20260423_111150","2026-04-23 11:11:50.486947"
"location","2","factor",0.0335591849025047,-0.0328364341258939,"ABG",3,"20260423_111150","2026-04-23 11:11:50.486947"
"location","3","factor",-0.0863437003124133,-0.00910622693515049,"ABG",3,"20260423_111150","2026-04-23 11:11:50.486947"
"encounter_type","Emergency","factor",-0.379033442476437,-0.0844930062921093,"ABG",3,"20260423_111150","2026-04-23 11:11:50.486947"
"encounter_type","Inpatient","factor",0.379033442476437,0.0844930062921101,"ABG",3,"20260423_111150","2026-04-23 11:11:50.486947"
"temp_new",NA,"numeric",-0.0870233166277373,-0.0128020733226424,"ABG",3,"20260423_111150","2026-04-23 11:11:50.486947"
"sbp",NA,"numeric",-0.169253721116026,-0.032753784079002,"ABG",3,"20260423_111150","2026-04-23 11:11:50.486947"
"dbp",NA,"numeric",-0.164287176350321,-0.0361913590977372,"ABG",3,"20260423_111150","2026-04-23 11:11:50.486947"
"hr",NA,"numeric",-0.0622246629374811,-0.0219923713965744,"ABG",3,"20260423_111150","2026-04-23 11:11:50.486947"
"sodium",NA,"numeric",-0.0322911008673677,-0.0184862726741184,"ABG",3,"20260423_111150","2026-04-23 11:11:50.486947"
"serum_cr",NA,"numeric",0.053755889167068,0.0421650334823503,"ABG",3,"20260423_111150","2026-04-23 11:11:50.486947"
"serum_hco3",NA,"numeric",-0.128636694483422,0.0015624057381439,"ABG",3,"20260423_111150","2026-04-23 11:11:50.486947"
"serum_cl",NA,"numeric",0.0227168825522991,-0.0127179875907911,"ABG",3,"20260423_111150","2026-04-23 11:11:50.486947"
"serum_lac",NA,"numeric",0.109949093117219,0.0124218972374363,"ABG",3,"20260423_111150","2026-04-23 11:11:50.486947"
"serum_k",NA,"numeric",0.018551687114217,0.0228639261678956,"ABG",3,"20260423_111150","2026-04-23 11:11:50.486947"
"wbc",NA,"numeric",0.115570040829638,0.0136630296081857,"ABG",3,"20260423_111150","2026-04-23 11:11:50.486947"
"plt",NA,"numeric",-0.113568722026526,-0.00871507488609005,"ABG",3,"20260423_111150","2026-04-23 11:11:50.486947"
"serum_phos",NA,"numeric",0.0934146706820522,0.0178284882946527,"ABG",3,"20260423_111150","2026-04-23 11:11:50.486947"
"serum_ca",NA,"numeric",-0.24700505313379,-0.0192822128044577,"ABG",3,"20260423_111150","2026-04-23 11:11:50.486947"
