"imp","stage","when","gc_vcells_used_mb","gc_vcells_limit_mb","gc_vcells_frac","gc_vcells_trigger_mb","gc_vcells_max_used_mb","rss_mb","run_mode","pilot_frac","run_id","run_ts"
15,"ps_abg","pre",3703,16384,0.22601318359375,964751313,964680566,2797.296875,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
15,"ps_abg","post",3703.1,16384,0.226019287109375,964751313,964680566,2797.296875,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
15,"ps_vbg","pre",3703.1,16384,0.226019287109375,964751313,964680566,2797.296875,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
15,"ps_vbg","post",3703.2,16384,0.226025390625,964751313,964680566,2797.34375,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
15,"imputation","post",3703.1,16384,0.226019287109375,964751313,964680566,2797.796875,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
16,"imputation","pre",3701.6,16384,0.225927734375,964751313,964680566,2797.796875,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
16,"ps_abg","pre",3703.1,16384,0.226019287109375,964751313,964680566,2797.796875,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
16,"ps_abg","post",3703.1,16384,0.226019287109375,964751313,964680566,2797.796875,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
16,"ps_vbg","pre",3703.1,16384,0.226019287109375,964751313,964680566,2797.796875,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
16,"ps_vbg","post",3703.2,16384,0.226025390625,964751313,964680566,2797.796875,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
16,"imputation","post",3703.1,16384,0.226019287109375,964751313,964680566,2797.796875,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
17,"imputation","pre",3701.6,16384,0.225927734375,964751313,964680566,2797.796875,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
17,"ps_abg","pre",3703.1,16384,0.226019287109375,964751313,964680566,2797.796875,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
17,"ps_abg","post",3703.2,16384,0.226025390625,964751313,964680566,2797.796875,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
17,"ps_vbg","pre",3703.2,16384,0.226025390625,964751313,964680566,2797.796875,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
17,"ps_vbg","post",3703.2,16384,0.226025390625,964751313,964680566,2797.796875,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
17,"imputation","post",3703.2,16384,0.226025390625,964751313,964680566,2798.046875,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
18,"imputation","pre",3701.6,16384,0.225927734375,964751313,964680566,2798.046875,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
18,"ps_abg","pre",3703.1,16384,0.226019287109375,964751313,964680566,2798.046875,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
18,"ps_abg","post",3703.2,16384,0.226025390625,964751313,964680566,2798.046875,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
18,"ps_vbg","pre",3703.2,16384,0.226025390625,964751313,964680566,2798.046875,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
18,"ps_vbg","post",3703.2,16384,0.226025390625,964751313,964680566,2798.046875,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
18,"imputation","post",3703.2,16384,0.226025390625,964751313,964680566,2798.15625,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
19,"imputation","pre",3701.6,16384,0.225927734375,964751313,964680566,2798.15625,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
19,"ps_abg","pre",3703.1,16384,0.226019287109375,964751313,964680566,2798.15625,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
19,"ps_abg","post",3703.2,16384,0.226025390625,964751313,964680566,2798.15625,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
19,"ps_vbg","pre",3703.2,16384,0.226025390625,964751313,964680566,2798.15625,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
19,"ps_vbg","post",3703.3,16384,0.226031494140625,964751313,964680566,2798.171875,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
19,"imputation","post",3703.2,16384,0.226025390625,964751313,964680566,2798.453125,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
20,"imputation","pre",3701.7,16384,0.225933837890625,964751313,964680566,2798.453125,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
20,"ps_abg","pre",3703.1,16384,0.226019287109375,964751313,964680566,2798.453125,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
20,"ps_abg","post",3703.2,16384,0.226025390625,964751313,964680566,2798.453125,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
20,"ps_vbg","pre",3703.2,16384,0.226025390625,964751313,964680566,2798.453125,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
20,"ps_vbg","post",3703.3,16384,0.226031494140625,964751313,964680566,2798.453125,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
20,"imputation","post",3703.2,16384,0.226025390625,964751313,964680566,2798.453125,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
