"sentinel_concept","group","imp","n_tested","events","unweighted_rate","weighted_rate","weighted_n","ess","date_missing_fraction","run_id","run_ts"
"Transthoracic echocardiography","ABG",13,1911,285,0.149136577708006,0.134589104250798,1911,1343.48479378687,0,"20260424_063653","2026-04-24 06:36:53.744157"
"Transthoracic echocardiography","VBG",13,1445,250,0.173010380622837,0.212887916480765,1445,982.067602390854,0,"20260424_063653","2026-04-24 06:36:53.744157"
"CT chest / CT pulmonary angiography","ABG",14,1911,81,0.0423861852433281,0.0414853582038096,1911,1399.69804872863,0,"20260424_063653","2026-04-24 06:36:53.744157"
"CT chest / CT pulmonary angiography","VBG",14,1445,121,0.0837370242214533,0.0779520469756763,1445,946.35027405332,0,"20260424_063653","2026-04-24 06:36:53.744157"
"Chest radiograph","ABG",14,1911,522,0.273155416012559,0.270498809984802,1911,1399.69804872863,0,"20260424_063653","2026-04-24 06:36:53.744157"
"Chest radiograph","VBG",14,1445,578,0.4,0.401150093265342,1445,946.35027405332,0,"20260424_063653","2026-04-24 06:36:53.744157"
"Transthoracic echocardiography","ABG",14,1911,285,0.149136577708006,0.135923435625368,1911,1399.69804872863,0,"20260424_063653","2026-04-24 06:36:53.744157"
"Transthoracic echocardiography","VBG",14,1445,250,0.173010380622837,0.208777971465562,1445,946.35027405332,0,"20260424_063653","2026-04-24 06:36:53.744157"
"CT chest / CT pulmonary angiography","ABG",15,1911,81,0.0423861852433281,0.0409412925022659,1911,1373.97134505794,0,"20260424_063653","2026-04-24 06:36:53.744157"
"CT chest / CT pulmonary angiography","VBG",15,1445,121,0.0837370242214533,0.0773207766093532,1445,950.939940160379,0,"20260424_063653","2026-04-24 06:36:53.744157"
"Chest radiograph","ABG",15,1911,522,0.273155416012559,0.270113762670998,1911,1373.97134505794,0,"20260424_063653","2026-04-24 06:36:53.744157"
"Chest radiograph","VBG",15,1445,578,0.4,0.391292279811087,1445,950.939940160379,0,"20260424_063653","2026-04-24 06:36:53.744157"
"Transthoracic echocardiography","ABG",15,1911,285,0.149136577708006,0.133801562585323,1911,1373.97134505794,0,"20260424_063653","2026-04-24 06:36:53.744157"
"Transthoracic echocardiography","VBG",15,1445,250,0.173010380622837,0.210462570038685,1445,950.939940160379,0,"20260424_063653","2026-04-24 06:36:53.744157"
"CT chest / CT pulmonary angiography","ABG",16,1911,81,0.0423861852433281,0.0431005849976198,1911,1376.1296261889,0,"20260424_063653","2026-04-24 06:36:53.744157"
"CT chest / CT pulmonary angiography","VBG",16,1445,121,0.0837370242214533,0.0735527760553593,1445,942.529942974715,0,"20260424_063653","2026-04-24 06:36:53.744157"
"Chest radiograph","ABG",16,1911,522,0.273155416012559,0.267733299430793,1911,1376.1296261889,0,"20260424_063653","2026-04-24 06:36:53.744157"
"Chest radiograph","VBG",16,1445,578,0.4,0.399581282323694,1445,942.529942974715,0,"20260424_063653","2026-04-24 06:36:53.744157"
"Transthoracic echocardiography","ABG",16,1911,285,0.149136577708006,0.133243142852675,1911,1376.1296261889,0,"20260424_063653","2026-04-24 06:36:53.744157"
"Transthoracic echocardiography","VBG",16,1445,250,0.173010380622837,0.208932916469446,1445,942.529942974715,0,"20260424_063653","2026-04-24 06:36:53.744157"
"CT chest / CT pulmonary angiography","ABG",17,1911,81,0.0423861852433281,0.0404127794252835,1911,1330.08062426923,0,"20260424_063653","2026-04-24 06:36:53.744157"
"CT chest / CT pulmonary angiography","VBG",17,1445,121,0.0837370242214533,0.0754116434170377,1445,933.624469269725,0,"20260424_063653","2026-04-24 06:36:53.744157"
"Chest radiograph","ABG",17,1911,522,0.273155416012559,0.267998339698328,1911,1330.08062426923,0,"20260424_063653","2026-04-24 06:36:53.744157"
"Chest radiograph","VBG",17,1445,578,0.4,0.403220307782955,1445,933.624469269725,0,"20260424_063653","2026-04-24 06:36:53.744157"
"Transthoracic echocardiography","ABG",17,1911,285,0.149136577708006,0.131574154147448,1911,1330.08062426923,0,"20260424_063653","2026-04-24 06:36:53.744157"
"Transthoracic echocardiography","VBG",17,1445,250,0.173010380622837,0.210212355263467,1445,933.624469269725,0,"20260424_063653","2026-04-24 06:36:53.744157"
"CT chest / CT pulmonary angiography","ABG",18,1911,81,0.0423861852433281,0.0425271078078075,1911,1372.88826101307,0,"20260424_063653","2026-04-24 06:36:53.744157"
"CT chest / CT pulmonary angiography","VBG",18,1445,121,0.0837370242214533,0.0741188583137427,1445,898.92842838663,0,"20260424_063653","2026-04-24 06:36:53.744157"
"Chest radiograph","ABG",18,1911,522,0.273155416012559,0.266531379710764,1911,1372.88826101307,0,"20260424_063653","2026-04-24 06:36:53.744157"
"Chest radiograph","VBG",18,1445,578,0.4,0.399939900703378,1445,898.92842838663,0,"20260424_063653","2026-04-24 06:36:53.744157"
"Transthoracic echocardiography","ABG",18,1911,285,0.149136577708006,0.134804070053716,1911,1372.88826101307,0,"20260424_063653","2026-04-24 06:36:53.744157"
