"cohort","outcome","outcome_label","bin_lo","bin_mid","n_bin","rate","run_id","run_ts"
"VBG","death_60d","Death (60d)",75,75.5,5,0.145182903054436,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","death_60d","Death (60d)",76,76.5,2,0,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","death_60d","Death (60d)",77,77.5,2,0,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","death_60d","Death (60d)",78,78.5,4,0.671581990796595,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","death_60d","Death (60d)",79,79.5,1,1,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","death_60d","Death (60d)",80,80.5,3,0.320568997312622,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","death_60d","Death (60d)",81,81.5,4,0.173141363204565,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","death_60d","Death (60d)",82,82.5,2,0.453991737535912,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","death_60d","Death (60d)",83,83.5,1,0,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","death_60d","Death (60d)",85,85.5,2,0,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","hypercap_resp_failure","Hypercapnic RF",24,24.5,6,0,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","hypercap_resp_failure","Hypercapnic RF",25,25.5,8,0,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","hypercap_resp_failure","Hypercapnic RF",26,26.5,8,0.0879096792330702,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","hypercap_resp_failure","Hypercapnic RF",27,27.5,6,0,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","hypercap_resp_failure","Hypercapnic RF",28,28.5,10,0,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","hypercap_resp_failure","Hypercapnic RF",29,29.5,13,0,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","hypercap_resp_failure","Hypercapnic RF",30,30.5,26,0.0236675660547967,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","hypercap_resp_failure","Hypercapnic RF",31,31.5,23,0,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","hypercap_resp_failure","Hypercapnic RF",32,32.5,25,0.0479468079291515,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","hypercap_resp_failure","Hypercapnic RF",33,33.5,28,0.113161750083502,"20260208_095917","2026-02-08 09:59:17.934826"
