"cohort","outcome","outcome_label","bin_lo","bin_mid","n_bin","rate","n_imp_contrib","run_id","run_ts"
"ABG","hypercap_resp_failure","Hypercapnic RF",86,86.5,184,0.484950041783116,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","hypercap_resp_failure","Hypercapnic RF",87,87.5,149,0.438853402693749,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","imv_proc","IMV",21,21.5,62,0.189599962910582,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","imv_proc","IMV",22,22.5,1062,0.284167797512685,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","imv_proc","IMV",23,23.5,1251,0.267361261291145,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","imv_proc","IMV",24,24.5,1628,0.275505607865123,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","imv_proc","IMV",25,25.5,1940,0.265070171534271,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","imv_proc","IMV",26,26.5,2366,0.227341870015814,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","imv_proc","IMV",27,27.5,2658,0.250917814636329,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","imv_proc","IMV",28,28.5,3335,0.252506075116434,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","imv_proc","IMV",29,29.5,3728,0.252584154902518,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","imv_proc","IMV",30,30.5,4207,0.253073111529154,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","imv_proc","IMV",31,31.5,4704,0.2552120614808,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","imv_proc","IMV",32,32.5,5763,0.23407857503317,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","imv_proc","IMV",33,33.5,6391,0.222433480441708,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","imv_proc","IMV",34,34.5,7278,0.215353451862111,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","imv_proc","IMV",35,35.5,7625,0.21025159533133,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","imv_proc","IMV",36,36.5,8410,0.20381029200456,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","imv_proc","IMV",37,37.5,8458,0.207277369740895,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","imv_proc","IMV",38,38.5,8925,0.200163870585925,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","imv_proc","IMV",39,39.5,8696,0.188078375124668,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","imv_proc","IMV",40,40.5,8424,0.196467848088451,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","imv_proc","IMV",41,41.5,7930,0.19683282579307,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","imv_proc","IMV",42,42.5,7666,0.193982449393899,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","imv_proc","IMV",43,43.5,6757,0.189697819461541,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","imv_proc","IMV",44,44.5,6424,0.182991158933143,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","imv_proc","IMV",45,45.5,5576,0.182927565436141,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","imv_proc","IMV",46,46.5,5269,0.184098891079737,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","imv_proc","IMV",47,47.5,4310,0.194803721990312,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","imv_proc","IMV",48,48.5,4180,0.198960901231341,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","imv_proc","IMV",49,49.5,3399,0.192375127730318,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","imv_proc","IMV",50,50.5,3217,0.187586696581531,1,"20260410_065559","2026-04-10 06:55:59.257143"
