"outcome","outcome_var","group","co2_scale","strategy","co2_value","manuscript_eta","manuscript_var_eta","manuscript_p","manuscript_p_LCL","manuscript_p_UCL","discordance_eta","discordance_var_eta","discordance_p","discordance_p_LCL","discordance_p_UCL","abs_eta_diff","abs_var_eta_diff","abs_p_diff","abs_p_LCL_diff","abs_p_UCL_diff","run_id","run_ts"
"NIV","niv_proc","VBG","vbg_co2","marginal_standardized",41.582352528021,-2.96667845628241,0.0379593542047968,0.0489541347168874,0.0339427307858472,0.0701225413051103,-2.96667845628241,0.0379593542047968,0.0489541347168874,0.0339427307858472,0.0701225413051103,0,0,0,0,0,"20260423_104307","2026-04-23 10:43:07.487173"
"NIV","niv_proc","VBG","vbg_co2","marginal_standardized",41.890814853074,-2.9687695385076,0.038466893288243,0.0488568706621296,0.0337910571801674,0.0701521082284104,-2.9687695385076,0.038466893288243,0.0488568706621296,0.0337910571801674,0.0701521082284104,0,0,0,0,0,"20260423_104307","2026-04-23 10:43:07.487173"
"NIV","niv_proc","VBG","vbg_co2","marginal_standardized",42.1992771781269,-2.96988249143202,0.0393891283387648,0.0488051778371489,0.0336056522439764,0.070378658096156,-2.96988249143202,0.0393891283387648,0.0488051778371489,0.0336056522439764,0.070378658096156,0,0,0,0,0,"20260423_104307","2026-04-23 10:43:07.487173"
"NIV","niv_proc","VBG","vbg_co2","marginal_standardized",42.5077395031799,-2.96988319650095,0.0406696481347013,0.0488051451055805,0.0334025184855204,0.0707900970235013,-2.96988319650095,0.0406696481347013,0.0488051451055805,0.0334025184855204,0.0707900970235013,0,0,0,0,0,"20260423_104307","2026-04-23 10:43:07.487173"
"NIV","niv_proc","VBG","vbg_co2","marginal_standardized",42.8162018282329,-2.96863771025108,0.0422373033736832,0.0488629970693251,0.0331996927466449,0.0713705761853265,-2.96863771025108,0.0422373033736832,0.0488629970693251,0.0331996927466449,0.0713705761853265,0,0,0,0,0,"20260423_104307","2026-04-23 10:43:07.487173"
"NIV","niv_proc","VBG","vbg_co2","marginal_standardized",43.1246641532859,-2.96601235045263,0.044007955742403,0.0489851563430498,0.0330162257372397,0.0721018605139975,-2.96601235045263,0.044007955742403,0.0489851563430498,0.0330162257372397,0.0721018605139975,0,0,0,0,0,"20260423_104307","2026-04-23 10:43:07.487173"
"NIV","niv_proc","VBG","vbg_co2","marginal_standardized",43.4331264783389,-2.96187379266431,0.0458866513274599,0.0491783138480926,0.0328713929029152,0.0729644981916738,-2.96187379266431,0.0458866513274599,0.0491783138480926,0.0328713929029152,0.0729644981916738,0,0,0,0,0,"20260423_104307","2026-04-23 10:43:07.487173"
"NIV","niv_proc","VBG","vbg_co2","marginal_standardized",43.7415888033919,-2.95608917768577,0.0477702179684333,0.0494495078012411,0.0327842109013296,0.0739387207767626,-2.95608917768577,0.0477702179684333,0.0494495078012411,0.0327842109013296,0.0739387207767626,0,0,0,0,0,"20260423_104307","2026-04-23 10:43:07.487173"
"NIV","niv_proc","VBG","vbg_co2","marginal_standardized",44.0500511284449,-2.94852639150646,0.0495503220150053,0.0498062046383584,0.0327732455284418,0.0750050856393637,-2.94852639150646,0.0495503220150053,0.0498062046383584,0.0327732455284418,0.0750050856393637,0,0,0,0,0,"20260423_104307","2026-04-23 10:43:07.487173"
"NIV","niv_proc","VBG","vbg_co2","marginal_standardized",44.3585134534979,-2.9391125258968,0.0511318465541225,0.0502536138186688,0.0328527715249352,0.0761453721385046,-2.9391125258968,0.0511318465541225,0.0502536138186688,0.0328527715249352,0.0761453721385046,0,0,0,0,0,"20260423_104307","2026-04-23 10:43:07.487173"
"NIV","niv_proc","VBG","vbg_co2","marginal_standardized",44.6669757785509,-2.92792049063366,0.0524636449839398,0.0507904861675327,0.0330266096158765,0.0773447043706145,-2.92792049063366,0.0524636449839398,0.0507904861675327,0.0330266096158765,0.0773447043706145,0,0,0,0,0,"20260423_104307","2026-04-23 10:43:07.487173"
"NIV","niv_proc","VBG","vbg_co2","marginal_standardized",44.9754381036039,-2.91504570236062,0.0535140353143008,0.0514147922094291,0.0332960192911279,0.0785917172447227,-2.91504570236062,0.0535140353143008,0.0514147922094291,0.0332960192911279,0.0785917172447227,0,0,0,0,0,"20260423_104307","2026-04-23 10:43:07.487173"
"NIV","niv_proc","VBG","vbg_co2","marginal_standardized",45,-2.91395104149816,0.0535849361870306,0.0514682064788487,0.0333215984103841,0.0786927900465916,-2.91395104149816,0.0535849361870306,0.0514682064788487,0.0333215984103841,0.0786927900465916,0,0,0,0,0,"20260423_104307","2026-04-23 10:43:07.487173"
"NIV","niv_proc","VBG","vbg_co2","marginal_standardized",45.2839004286569,-2.90058383845271,0.0542641772839162,0.0521247094052064,0.0336615004522147,0.0798778195140156,-2.90058383845271,0.0542641772839162,0.0521247094052064,0.0336615004522147,0.0798778195140156,0,0,0,0,0,"20260423_104307","2026-04-23 10:43:07.487173"
"NIV","niv_proc","VBG","vbg_co2","marginal_standardized",45.5923627537099,-2.88463075866045,0.054706451935649,0.052918570059919,0.0341230543974312,0.0811966359817442,-2.88463075866045,0.054706451935649,0.052918570059919,0.0341230543974312,0.0811966359817442,0,0,0,0,0,"20260423_104307","2026-04-23 10:43:07.487173"
"NIV","niv_proc","VBG","vbg_co2","marginal_standardized",45.9008250787629,-2.8672824302066,0.0548429065409113,0.0537948112196276,0.0346803430504734,0.0825435858253707,-2.8672824302066,0.0548429065409113,0.0537948112196276,0.0346803430504734,0.0825435858253707,0,0,0,0,0,"20260423_104307","2026-04-23 10:43:07.487173"
